"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MCCJCI3E","webpage","","","Generative AI Security: Challenges and Countermeasures","","","","","https://arxiv.org/html/2402.12617v2","","","2025-07-17 05:03:18","2025-07-17 05:03:18","2025-07-17 05:03:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYUHQ25M","bookSection","2013","Alpcan, Tansu","Game Theory for Security","Encyclopedia of Systems and Control","978-1-4471-5102-9","","","https://link.springer.com/rwe/10.1007/978-1-4471-5102-9_37-1","Game theory provides a mature mathematical foundation for making security decisions in a principled manner. Security games help formalizing security problems and decisions using quantitative models. The resulting analytical frameworks lead to better allocation of...","2013","2025-07-17 05:04:18","2025-07-17 05:04:18","2025-07-17 05:04:18","1-6","","","","","","","","","","","Springer, London","","en","","","","","link.springer.com","","DOI: 10.1007/978-1-4471-5102-9_37-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXCG756C","conferencePaper","2012","Tambe, Milind; Jain, Manish; Pita, James Adam; Jiang, Albert Xin","Game theory for security: Key algorithmic principles, deployed systems, lessons learned","2012 50th Annual Allerton Conference on Communication, Control, and Computing (Allerton)","","","10.1109/allerton.2012.6483443","http://ieeexplore.ieee.org/document/6483443/","Security is a critical concern around the world. In many security domains, limited security resources prevent full security coverage at all times; instead, these limited resources must be scheduled, avoiding schedule predictability, while simultaneously taking into account different target priorities, the responses of the adversaries to the security posture and potential uncertainty over adversary types.","2012-10","2025-07-17 05:04:22","2025-07-17 05:04:22","2025-07-17 05:04:22","1822-1829","","","","","","Game theory for security","","","","","IEEE","Monticello, IL, USA","en","","","","","Crossref","","","","C:\Users\TinyAIs\Zotero\storage\W4ZFJQE6\Tambe et al. - 2012 - Game theory for security Key algorithmic principles, deployed systems, lessons learned.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 50th Annual Allerton Conference on Communication, Control, and Computing (Allerton)","","","","","","","","","","","","","","",""
"7CBYTL6G","journalArticle","2022","Ho, Edwin; Rajagopalan, Arvind; Skvortsov, Alex; Arulampalam, Sanjeev; Piraveenan, Mahendra","Game Theory in Defence Applications: A Review","Sensors (Basel, Switzerland)","","1424-8220","10.3390/s22031032","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8838118/","This paper presents a succinct review of attempts in the literature to use game theory to model decision-making scenarios relevant to defence applications. Game theory has been proven as a very effective tool in modelling the decision-making processes of intelligent agents, entities, and players. It has been used to model scenarios from diverse fields such as economics, evolutionary biology, and computer science. In defence applications, there is often a need to model and predict the actions of hostile actors, and players who try to evade or out-smart each other. Modelling how the actions of competitive players shape the decision making of each other is the forte of game theory. In past decades, there have been several studies that applied different branches of game theory to model a range of defence-related scenarios. This paper provides a structured review of such attempts, and classifies existing literature in terms of the kind of warfare modelled, the types of games used, and the players involved. After careful selection, a total of 29 directly relevant papers are discussed and classified. In terms of the warfares modelled, we recognise that most papers that apply game theory in defence settings are concerned with Command and Control Warfare, and can be further classified into papers dealing with (i) Resource Allocation Warfare (ii) Information Warfare (iii) Weapons Control Warfare, and (iv) Adversary Monitoring Warfare. We also observe that most of the reviewed papers are concerned with sensing, tracking, and large sensor networks, and the studied problems have parallels in sensor network analysis in the civilian domain. In terms of the games used, we classify the reviewed papers into papers that use non-cooperative or cooperative games, simultaneous or sequential games, discrete or continuous games, and non-zero-sum or zero-sum games. Similarly, papers are also classified into two-player, three-player or multi-player game based papers. We also explore the nature of players and the construction of payoff functions in each scenario. Finally, we also identify gaps in literature where game theory could be fruitfully applied in scenarios hitherto unexplored using game theory. The presented analysis provides a concise summary of the state-of-the-art with regards to the use of game theory in defence applications and highlights the benefits and limitations of game theory in the considered scenarios.","2022-01-28","2025-07-17 05:04:26","2025-07-17 05:04:26","2025-07-17 05:04:26","1032","","3","22","","Sensors (Basel)","Game Theory in Defence Applications","","","","","","","","","","","","PubMed Central","","PMID: 35161778 PMCID: PMC8838118","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8838118/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LG23GJIE","journalArticle","","Breitenbucher, Abigail","Gaming The System: A Game Theoretic Approach To Risk Management And Cybersecurity","","","","","","","","2025-07-17 05:04:33","2025-07-17 05:04:33","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\TinyAIs\Zotero\storage\ATWBUEK8\Breitenbucher - Gaming The System A Game Theoretic Approach To Risk Management And Cybersecurity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AY833MU","journalArticle","2013","Manshaei, Mohammad Hossein; Zhu, Quanyan; Alpcan, Tansu; Bacşar, Tamer; Hubaux, Jean-Pierre","Game theory meets network security and privacy","ACM Computing Surveys","","0360-0300, 1557-7341","10.1145/2480741.2480742","https://dl.acm.org/doi/10.1145/2480741.2480742","This survey provides a structured and comprehensive overview of research on security and privacy in computer and communication networks that use game-theoretic approaches. We present a selected set of works to highlight the application of game theory in addressing different forms of security and privacy problems in computer networks and mobile applications. We organize the presented works in six main categories: security of the physical and MAC layers, security of self-organizing networks, intrusion detection systems, anonymity and privacy, economics of network security, and cryptography. In each category, we identify security problems, players, and game models. We summarize the main results of selected works, such as equilibrium analysis and security mechanism designs. In addition, we provide a discussion on the advantages, drawbacks, and future direction of using game theory in this field. In this survey, our goal is to instill in the reader an enhanced understanding of different research approaches in applying game-theoretic methods to network security. This survey can also help researchers from various fields develop game-theoretic solutions to current and emerging security problems in computer networking.","2013-06","2025-07-17 05:04:47","2025-07-17 05:04:47","2025-07-17 05:04:47","1-39","","3","45","","ACM Comput. Surv.","","","","","","","","en","https://www.acm.org/publications/policies/copyright_policy#Background","","","","Crossref","","Publisher: Association for Computing Machinery (ACM)","","C:\Users\TinyAIs\Zotero\storage\JSJIFDWU\Manshaei et al. - 2013 - Game theory meets network security and privacy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVL9TFTT","journalArticle","2013","Liang, Xiannuan; Xiao, Yang","Game Theory for Network Security","IEEE Communications Surveys & Tutorials","","1553-877X","10.1109/surv.2012.062612.00056","http://ieeexplore.ieee.org/document/6238282/","As networks become ubiquitous in people’s lives, users depend on networks a lot for sufﬁcient communication and convenient information access. However, networks suffer from security issues. Network security becomes a challenging topic since numerous new network attacks have appeared increasingly sophisticated and caused vast loss to network resources. Game theoretic approaches have been introduced as a useful tool to handle those tricky network attacks. In this paper, we review the existing game-theory based solutions for network security problems, classifying their application scenarios under two categories, attack-defense analysis and security measurement. Moreover, we present a brief view of the game models in those solutions and summarize them into two categories, cooperative game models and non-cooperative game models with the latter category consisting of subcategories. In addition to the introduction to the state of the art, we discuss the limitations of those game theoretic approaches and propose future research directions.","2013","2025-07-17 05:04:54","2025-07-17 05:04:54","2025-07-17 05:04:54","472-486","","1","15","","IEEE Commun. Surv. Tutorials","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","Crossref","","Publisher: Institute of Electrical and Electronics Engineers (IEEE)","","C:\Users\TinyAIs\Zotero\storage\GS4NBVMR\Liang and Xiao - 2013 - Game Theory for Network Security.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76RUR7QT","conferencePaper","2025","Ganzfried, Sam","Fast Complete Algorithm for Multiplayer Nash Equilibrium","Decision and Game Theory for Security","978-3-031-74835-6","","10.1007/978-3-031-74835-6_6","","We describe a new complete algorithm for computing Nash equilibrium in multiplayer general-sum games, based on a quadratically-constrained feasibility program formulation. We demonstrate that the algorithm runs significantly faster than the prior fastest complete algorithm on several game classes previously studied and that its runtimes even outperform the best incomplete algorithms. We expect our algorithm to be applicable to important game models in economics, political science, security, and many other fields.","2025","2025-07-17 05:05:59","2025-07-17 05:05:59","","109-123","","","","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Sinha, Arunesh; Fu, Jie; Zhu, Quanyan; Zhang, Tao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU9MA2D3","conferencePaper","2025","Kumari, Kavita; Jadliwala, Murtuza; Jha, Sumit Kumar; Maiti, Anindya","Towards a Game-Theoretic Understanding of Explanation-Based Membership Inference Attacks","Decision and Game Theory for Security","978-3-031-74835-6","","10.1007/978-3-031-74835-6_13","","Model explanations improve the transparency of black-box machine learning (ML) models and their decisions; however, they can also enable privacy threats like membership inference attacks (MIA). Existing works have only analyzed MIA in a single interaction scenario between an adversary and the target ML model, missing the factors that influence an adversary’s capability to launch MIA in repeated interactions. These works also assume the attacker knows the model’s structure, which isn’t always true, leading to suboptimal thresholds for identifying members. This paper examines explanation-based threshold attacks, where an adversary uses the variance in explanations through repeated interactions to perform MIA. We use a continuous-time stochastic signaling game to model these interactions. Unaware of the system’s exact type (honest or malicious), the adversary plays a stopping game to gather explanation variance and compute an optimal threshold for membership determination. We propose a sound mathematical formulation to prove that such an optimal threshold exists, which can be used to launch MIA and identify conditions for a unique Markov perfect equilibrium in this dynamic system. Finally, we evaluate various factors affecting an adversary’s ability to conduct MIA in repeated settings through simulations.","2025","2025-07-17 05:05:59","2025-07-17 05:05:59","","263-283","","","","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Sinha, Arunesh; Fu, Jie; Zhu, Quanyan; Zhang, Tao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8VPJYTH","conferencePaper","2025","Frank, Marcell; Pejó, Balázs; Biczók, Gergely","Effective Anonymous Messaging: The Role of Altruism","Decision and Game Theory for Security","978-3-031-74835-6","","10.1007/978-3-031-74835-6_12","","Anonymous messaging and payments have gained momentum recently due to their impact on individuals, society, and the digital landscape. Fuzzy Message Detection (FMD) is a privacy-preserving protocol where an untrusted server performs message filtering for its clients in an anonymous way. To prevent the server from linking the sender and the receiver, the latter can set how much cover traffic they should download along with genuine messages. Clearly, this could cause unwanted messages to appear on the user’s end, thereby creating a need to balance one’s bandwidth cost with the desired level of unlinkability.","2025","2025-07-17 05:05:59","2025-07-17 05:05:59","","240-259","","","","","","Effective Anonymous Messaging","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Sinha, Arunesh; Fu, Jie; Zhu, Quanyan; Zhang, Tao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Q485EUW","conferencePaper","2025","Ebrahimi, Raman; Naghizadeh, Parinaz","Extended Horizons: Multi-hop Awareness in Network Games","Decision and Game Theory for Security","978-3-031-74835-6","","10.1007/978-3-031-74835-6_10","","Network/interdependent security games have been extensively used in the literature to gain insights into how firms make optimal security decisions when accounting for spillovers of risks from other firms with whom they have risk interdependencies. We extend these models by proposing K-hop network (security) games, in which agents have extended awareness of network effects: an agent in a K-hop network game accounts for not only its immediate neighbors (those with whom it directly has joint operations or shared infrastructure), but also the spillover of the (security) risks from agents up to K-hops away from it. We first establish an equivalence between our proposed K-hop network games and a one-hop game played on an appropriately defined adjacency matrix. Then, through analytical results and numerical examples, we illustrate how subtle changes in a network can significantly alter equilibrium behaviors when accounting for multi-hop risk spillovers, emphasizing the dependency of agents’ efforts on the nature of their dependencies (complement vs. substitute nature of efforts), agents’ different levels K of awareness of the network effects, and the reactive vs. passive nature of lower awareness (lower K) agents to those with higher awareness (higher K). Our findings show that extended awareness of network effects can, in general, benefit agents by allowing them to optimize their security planning and resource allocation, but that decision makers who are less sophisticated and lack this awareness can suffer, and that consequently, overall investment levels in security may deteriorate.","2025","2025-07-17 05:05:59","2025-07-17 05:05:59","","201-219","","","","","","Extended Horizons","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Sinha, Arunesh; Fu, Jie; Zhu, Quanyan; Zhang, Tao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YN8RDS9U","conferencePaper","2025","Pflügel, Eckhard; Rass, Stefan","Ransom Roulette: Learning the Games Behind Cyber Extortion","Decision and Game Theory for Security","978-3-031-74835-6","","10.1007/978-3-031-74835-6_4","","A ransomware game involves a ransomware attacker $$\mathcal {A}$$Aand a victim $$\mathcal {V}$$Vdeciding to cooperate or not. The victim may or may not trust the ransomware attacker to unlock files after paying the ransom to prevent data loss. Simultaneously, the attacker can strategically decide whether or not to unlock the files after receiving payment. This can be modelled as a strategic game, repeated over time. In addition, the attacker may change their mind at any point and stop the game. Likewise, the victim, at any time, might become incapable of playing by being bankrupt, or uninterested by having established recovery and resilience. We develop a novel stochastic game-theoretic model for analysing this scenario and provide equilibria for a single victim and multiple victims. We also study convergence towards equilibria from mutual experience collected by victims and the attacker and compare the equilibrium limits of the model with recommendations from real-life reported experience.","2025","2025-07-17 05:05:59","2025-07-17 05:05:59","","67-86","","","","","","Ransom Roulette","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Sinha, Arunesh; Fu, Jie; Zhu, Quanyan; Zhang, Tao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
