Paper ID,Year,Authours,Title,Venue,Decision,Category,Priority,Notes,URL/DOI
7CBYTL6G,2022,"Ho, Edwin; Rajagopalan, Arvind; Skvortsov, Alex; Arulampalam, Sanjeev; Piraveenan, Mahendra",Game Theory in Defence Applications: A Review,"Sensors (Basel, Switzerland)",Include,Game Theory for Security,High,"Systematic review of GT and security. Culls review down to 29 papers, and in addition outlines gaps in literature where game theory could be applied.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8838118/
LG23GJIE,,"Breitenbucher, Abigail",Gaming The System: A Game Theoretic Approach To Risk Management And Cybersecurity,,Maybe,Game Theory for Security,Medium,Game theory and cybersec/risk management. ,
9AY833MU,2013,"Manshaei, Mohammad Hossein; Zhu, Quanyan; Alpcan, Tansu; Bacşar, Tamer; Hubaux, Jean-Pierre",Game theory meets network security and privacy,ACM Computing Surveys,Maybe,Game Theory for Security,Medium,Focused on GT for network security. ,https://dl.acm.org/doi/10.1145/2480741.2480742
SVL9TFTT,2013,"Liang, Xiannuan; Xiao, Yang",Game Theory for Network Security,IEEE Communications Surveys & Tutorials,Exclude,,,Focused on GT for network security. Not enough overlap to be investigated further. Already have GT NetSec paper in review.,http://ieeexplore.ieee.org/document/6238282/
76RUR7QT,2025,"Ganzfried, Sam",Fast Complete Algorithm for Multiplayer Nash Equilibrium,Decision and Game Theory for Security,Include,Game Theory,Medium,Paper that outlines the performance of novel algorithmic Nash equilbirum computation in multi-player general-sum games. Contextualises the costs of GT in practice in production.,10.1007/978-3-031-74835-6_6
TU9MA2D3,2025,"Kumari, Kavita; Jadliwala, Murtuza; Jha, Sumit Kumar; Maiti, Anindya",Towards a Game-Theoretic Understanding of Explanation-Based Membership Inference Attacks,Decision and Game Theory for Security,Exclude,,,Game Theory in AI Security/Defence. Not enough overlap with my focus. Not a foundation work in Game Theory for AI Security.,10.1007/978-3-031-74835-6_13
Y8VPJYTH,2025,"Frank, Marcell; Pejó, Balázs; Biczók, Gergely",Effective Anonymous Messaging: The Role of Altruism,Decision and Game Theory for Security,Exclude,,,Focuses on a particular application and privacy. Not my focus. ,10.1007/978-3-031-74835-6_12
9Q485EUW,2025,"Ebrahimi, Raman; Naghizadeh, Parinaz",Extended Horizons: Multi-hop Awareness in Network Games,Decision and Game Theory for Security,Include,Game Theory for Security,High,"Optimal investment in security using game theory, focuses on spillover effects in firms with risk interdependecies with other firms. Outlines impact of investment awareness on security risk.",10.1007/978-3-031-74835-6_10
YN8RDS9U,2025,"Pflügel, Eckhard; Rass, Stefan",Ransom Roulette: Learning the Games Behind Cyber Extortion,Decision and Game Theory for Security,Exclude,,,"Too specific on ransomware, not enough overlap with my categories and focus.",10.1007/978-3-031-74835-6_4
U5PGDEMT,2025,"Galinkin, Erick; Pountourakis, Emmanouil; Mancoridis, Spiros",The Price of Pessimism for Automated Defense,Decision and Game Theory for Security,Include,Game Theory for Security,High,Uses GT to outline costs of optimising for worst case scenarios in cybersecurity risk management.,10.1007/978-3-031-74835-6_3
HPFSLD39,2025,"Li, Zhen; Liao, Qi",How Much Should I Double Spend My Bitcoin? Game Theory of Quantum Mining,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_5
RIGDKIZD,2025,"Černý, Jakub; Ling, Chun Kai; Chakrabarti, Darshan; Zhang, Jingwen; Farina, Gabriele; Kroer, Christian; Iyengar, Garud",Contested Logistics: A Game-Theoretic Approach,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_7
ZWVKG8SD,2025,"Probine, Caleb; Karabag, Mustafa O.; Topcu, Ufuk",A Decentralized Shotgun Approach for Team Deception,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_9
UF9XTDEX,2025,"Neupane, Roshan Lal; Bhusal, Bishnu; Neupane, Kiran; Regmi, Preyea; Dinh, Tam; Marrero, Lilliana; Saghaian N. E., Sayed M.; Nadendla, Venkata Sriram Siddhardh; Calyam, Prasad",On Countering Ransomware Attacks Using Strategic Deception,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_8
DNRM6L38,2025,"Ge, Yunfei; Zhu, Quanyan",MEGA-PT: A Meta-game Framework for Agile Penetration Testing,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_2
FVN99EIU,2025,"Hammar, Kim; Stadler, Rolf",Intrusion Tolerance as a Two-Level Game,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,"Game-theoretic strategies for positive effects on CIA, reducing cost of operations. Bridges game strategies to outcomes in security.",10.1007/978-3-031-74835-6_1
VAEWJQUI,2025,"Banik, Sandeep; Bopardikar, Shaunak D.; Hovakimyan, Naira",FlipDyn in Graphs: Resource Takeover Games in Graphs,Decision and Game Theory for Security,,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-74835-6_11
9Z2UZRWQ,2023,"Sayed, Md Abu; Anwar, Ahmed H.; Kiekintveld, Christopher; Bosansky, Branislav; Kamhoua, Charles",Cyber Deception Against Zero-Day Attacks: A Game Theoretic Approach,Decision and Game Theory for Security,Include,Game Theory for Security,High,"Allocation of resources given game-theoretic approaches to recon and attack paths. Contextualises it within zero-day attacks, which is temporally relevant to AI security at this stage of its lifecycle.",10.1007/978-3-031-26369-9_3
PJMBGB4D,2023,"Kinsey, Sarah Eve; Tuck, Wong Wai; Sinha, Arunesh; Nguyen, Thanh H.",An Exploration of Poisoning Attacks on Data-Based Decision Making,Decision and Game Theory for Security,Include,Game Theory for Security,High,Protection of data-based decision making systems.,10.1007/978-3-031-26369-9_12
JMFGFKHC,2023,"Li, Henger; Zheng, Zizhan",Robust Moving Target Defense Against Unknown Attacks: A Meta-reinforcement Learning Approach,Decision and Game Theory for Security,Include,Game Theory for Security,High,Moving target defense to provide proactive defense. Proposes novel solution to defender-as-leader position with attacker-unknown opacity for type/attack,10.1007/978-3-031-26369-9_6
76KFV3BE,2023,"Bhambri, Siddhant; Chauhan, Purv; Araujo, Frederico; Doupé, Adam; Kambhampati, Subbarao",Using Deception in Markov Game to Understand Adversarial Behaviors Through a Capture-The-Flag Environment,Decision and Game Theory for Security,Exclude,,,Too specific on honeypots.,10.1007/978-3-031-26369-9_5
2YD9G8M2,2023,"Rass, Stefan; König, Sandra",Synchronization in Security Games,Decision and Game Theory for Security,Include,Game Theory for Security,High,"Focuses on gaps in single turn based GT defence/attack modelling of actors, such as in real jagged systems and pertinent in particular to AI systems that constantly learn and probe target systems.",10.1007/978-3-031-26369-9_7
6PTTVPV8,2023,"Nguyen, Thanh Hong; Yadav, Amulya",The Risk of Attacker Behavioral Learning: Can Attacker Fool Defender Under Uncertainty?,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,Looks at deceptive behaviours in attackers that could combat GT approaches to security. Not enough overlap with my focus and categories but could be useful to outline known gaps.,10.1007/978-3-031-26369-9_1
D68CDFC3,2023,"Fu, Jie",On Almost-Sure Intention Deception Planning that Exploits Imperfect Observers,Decision and Game Theory for Security,Exclude,,,Looks at deceptive behaviours in attackers that could combat GT approaches to security. Not enough overlap with my focus and categories.,10.1007/978-3-031-26369-9_4
Q5L5QZR4,2023,"Tsemogne, Olivier; Hayel, Yezekael; Kamhoua, Charles; Deugoué, Gabriel",Optimizing Intrusion Detection Systems Placement Against Network Virus Spreading Using a Partially Observable Stochastic Minimum-Threat Path Game,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_14
QDSYQDVQ,2023,"Bajaj, Shivam; Bopardikar, Shaunak D.",Optimal Pursuit of Surveilling Agents Near a High Value Target,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_9
NDTIP977,2023,"Sarkar, Anindya; Feng, Jiarui; Vorobeychik, Yevgeniy; Gill, Christopher; Zhang, Ning",Reward Delay Attacks on Deep Reinforcement Learning,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_11
ELPESMVV,2023,"Kroupa, Tomáš; Votroubek, Tomáš",Multiple Oracle Algorithm to Solve Continuous Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_8
D98F8DV8,2023,"Gabrys, Ryan; Bilinski, Mark; Mauger, Justin; Silva, Daniel; Fugate, Sunny",Casino Rationale: Countering Attacker Deception in Zero-Sum Stackelberg Security Games of Bounded Rationality,Decision and Game Theory for Security,Maybe,Game Theory for Security,Low,"Looks at the rationality aspect of modelling attacker behaviour, and optimal strategies.",10.1007/978-3-031-26369-9_2
3JB4G28L,2023,"Tsemogne, Olivier; Kouam, Willie; Anwar, Ahmed H.; Hayel, Yezekael; Kamhoua, Charles; Deugoué, Gabriel",A Network Centrality Game for Epidemic Control,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_13
PMZSKXMN,2023,"Pan, Yunian; Zhu, Quanyan",On Poisoned Wardrop Equilibrium in Congestion Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-031-26369-9_10
ZY23J32D,2021,"Ganzfried, Sam",Computing Nash Equilibria in Multiplayer DAG-Structured Stochastic Games with Persistent Imperfect Information,Decision and Game Theory for Security,Include,Game Theory for Security,Medium,Nash equilibirum in multi-player general-sum stochastic games.,10.1007/978-3-030-90370-1_1
RWNE28HR,2021,"Roy, Shanto; Kadir, Salah Uddin; Vorobeychik, Yevgeniy; Laszka, Aron",Strategic Remote Attestation: Testbed for Internet-of-Things Devices and Stackelberg Security Game for Optimal Strategies,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_15
76MVHPE5,2021,"Samsinger, Maximilian; Merkle, Florian; Schöttle, Pascal; Pevny, Tomas",When Should You Defend Your Classifier?,Decision and Game Theory for Security,Include,Game Theory for AI Security,High,Focuses on economic factors for defenders/attackers of AI systems.,10.1007/978-3-030-90370-1_9
EZ86XKII,2021,"Wu, Junlin; Kamhoua, Charles; Kantarcioglu, Murat; Vorobeychik, Yevgeniy",Learning Generative Deception Strategies in Combinatorial Masking Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_6
HSKHBBW5,2021,"Butler, Andrew R.; Nguyen, Thanh H.; Sinha, Arunesh",Countering Attacker Data Manipulation in Security Games,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,"Unknown attacker behaviour strategies, with/out deception. Introduces a novel counter-deception approach even in low-information environments and approaches.",10.1007/978-3-030-90370-1_4
T5DA9UBW,2021,"Zhao, Yuhan; Ge, Yunfei; Zhu, Quanyan",Combating Ransomware in Internet of Things: A Games-in-Games Approach for Cross-Layer Cyber Defense and Security Investment,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_12
MDWC2T5M,2021,"Bilinski, Mark; diVita, Joseph; Ferguson-Walter, Kimberly; Fugate, Sunny; Gabrys, Ryan; Mauger, Justin; Souza, Brian",No Time to Lie: Bounds on the Learning Rate of a Defender for Inferring Attacker Target Preferences,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_8
ZPESWP7I,2021,"Vakilinia, Iman; Khalili, Mohammad Mahdi; Li, Ming",A Mechanism Design Approach to Solve Ransomware Dilemmas,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_10
7NPRMWSI,2021,"Kroupa, Tomáš; Vannucci, Sara; Votroubek, Tomáš",Separable Network Games with Compact Strategy Sets,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_3
H6CMM9XI,2021,"Galinkin, Erick",Winning the Ransomware Lottery,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_11
HFZME8JH,2021,"Jin, Kun; Yin, Tongxin; Kamhoua, Charles A.; Liu, Mingyan",Network Games with Strategic Machine Learning,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_7
E9BJ8HZH,2021,"Niu, Luyao; Sahabandu, Dinuka; Clark, Andrew; Poovendran, Radha",A Game-Theoretic Framework for Controlled Islanding in the Presence of Adversaries,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_13
392ACEDF,2021,"Pi, Jianzong; Heyman, Joseph L.; Gupta, Abhishek",Two Algorithms for Computing Exact and Approximate Nash Equilibria in Bimatrix Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_2
TQFRLGVI,2021,"Brahma, Swastik; Njilla, Laurent; Nan, Satyaki",Game Theoretic Hardware Trojan Testing Under Cost Considerations,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_14
5QGDWLGQ,2021,"Roussillon, Benjamin; Loiseau, Patrick",Scalable Optimal Classifiers for Adversarial Settings Under Uncertainty,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-90370-1_5
6VUHI4QK,2020,"Ma, Xiaobai; Gupta, Jayesh K.; Kochenderfer, Mykel J.",Normalizing Flow Policies for Multi-agent Systems,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_15
YW3MCRSF,2020,"Granados, Alonso; Miah, Mohammad Sujan; Ortiz, Anthony; Kiekintveld, Christopher",A Realistic Approach for Network Traffic Obfuscation Using Adversarial Machine Learning,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_3
ECGW7T4F,2020,"Mavridis, Christos N.; Suriyarachchi, Nilesh; Baras, John S.",Detection of Dynamically Changing Leaders in Complex Swarms from Observed Dynamic Data,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_12
D3KKYDRZ,2020,"Milani, Stephanie; Shen, Weiran; Chan, Kevin S.; Venkatesan, Sridhar; Leslie, Nandi O.; Kamhoua, Charles; Fang, Fei",Harnessing the Power of Deception in Attack Graph-Based Security Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_8
CUI478UX,2020,"Eghtesad, Taha; Vorobeychik, Yevgeniy; Laszka, Aron",Adversarial Deep Reinforcement Learning Based Adaptive Moving Target Defense,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,"Outlines the issues with MTD, pertinent to AI security defences and defending against AI attacks. Proposes a solution. Contains experimental results of the framework efficacy.",10.1007/978-3-030-64793-3_4
PLX2J9JW,2020,"Bilinski, Mark; diVita, Joe; Ferguson-Walter, Kimberly; Fugate, Sunny; Gabrys, Ryan; Mauger, Justin; Souza, Brian",Lie Another Day: Demonstrating Bias in a Multi-round Cyber Deception Game of Questionable Veracity,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_5
238GCKSE,2020,"Thakoor, Omkar; Jabbari, Shahin; Aggarwal, Palvi; Gonzalez, Cleotilde; Tambe, Milind; Vayanos, Phebe",Exploiting Bounded Rationality in Risk-Based Cyber Camouflage Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_6
LLTHBZJ3,2020,"Jia, Feiran; Zhou, Kai; Kamhoua, Charles; Vorobeychik, Yevgeniy",Blocking Adversarial Influence in Social Networks,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_14
CCTMLY57,2020,"Katzef, Marc; Cullen, Andrew C.; Alpcan, Tansu; Leckie, Christopher; Kopacz, Justin",Distributed Generative Adversarial Networks for Anomaly Detection,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_1
TN6QNFWE,2020,"Sen, Ayon; Zhu, Xiaojin; Marshall, Erin; Nowak, Robert",Popular Imperceptibility Measures in Visual Adversarial Attacks are Far from Human Perception,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_10
XZK3B3IV,2020,"Huang, Linan; Zhu, Quanyan",Farsighted Risk Mitigation of Lateral Movement Using Dynamic Cognitive Honeypots,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_7
4MTKXFC2,2020,"Shi, Zheyuan Ryan; Procaccia, Ariel D.; Chan, Kevin S.; Venkatesan, Sridhar; Ben-Asher, Noam; Leslie, Nandi O.; Kamhoua, Charles; Fang, Fei",Learning and Planning in the Feature Deception Problem,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_2
6GQ96IXY,2020,"Kulkarni, Abhishek N.; Fu, Jie; Luo, Huan; Kamhoua, Charles A.; Leslie, Nandi O.",Decoy Allocation Games on Graphs with Temporal Logic Objectives,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_9
P2P82KY5,2020,"Sengupta, Sailik; Basu, Kaustav; Sen, Arunabha; Kambhampati, Subbarao",Moving Target Defense for Robust Monitoring of Electric Grid Transformers in Adversarial Environments,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_13
KGJXN6SR,2020,"uz Zaman, Muhammad Aneeq; Bhatt, Sujay; Başar, Tamer",Secure Discrete-Time Linear-Quadratic Mean-Field Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-64793-3_11
R5YG7EJU,2018,"Sengupta, Sailik; Chowdhary, Ankur; Huang, Dijiang; Kambhampati, Subbarao",Moving Target Defense for the Placement of Intrusion Detection Systems in the Cloud,Decision and Game Theory for Security,Exclude,,,"Focuses on a non-compatible application of GT. The cloud-based aspect rules this paper out but the underlying approach to MTD in a finite resource environment is compatible with my focus, however the cloud provider-to-consumer dynamic rules it out for my focus.",10.1007/978-3-030-01554-1_19
345GF49I,2018,"Han, Yi; Rubinstein, Benjamin I. P.; Abraham, Tamas; Alpcan, Tansu; De Vel, Olivier; Erfani, Sarah; Hubczenko, David; Leckie, Christopher; Montague, Paul",Reinforcement Learning for Autonomous Defence in Software-Defined Networking,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_9
3S2VLFEX,2018,"Bilinski, Mark; Gabrys, Ryan; Mauger, Justin",Optimal Placement of Honeypots for Network Defense,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_7
3QCNRG9H,2018,"Wachter, Jasmin; Rass, Stefan; König, Sandra; Schauer, Stefan",Disappointment-Aversion in Security Games,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,Highlights and analyses the impacts of expected loss deviation (downside) and subsequent moves by the player to optimise their approach and deviating from utility maximisation. Puts forth a method for finding the Nash equilibria that complies with disappointment aversion. Could be useful for non-simple AI security GT approaches in practice.,10.1007/978-3-030-01554-1_18
XQBQRNRC,2018,"Heyman, Joseph L.; Gupta, Abhishek",Colonel Blotto Game with Coalition Formation for Sharing Resources,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_10
SJ3VB3CT,2018,"Huang, Linan; Zhu, Quanyan",Analysis and Computation of Adaptive Defense Strategies Against Advanced Persistent Threats for Cyber-Physical Systems,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_12
BQUYJAIH,2018,"Huang, Chong; Sankar, Lalitha",Impact of Privacy on Free Online Service Markets,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_1
QKJDNCCZ,2018,"Plewtong, Nick; DeBruhl, Bruce",Game Theoretic Analysis of a Byzantine Attacker in Vehicular Mix-Zones,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_16
C9R8CUTV,2018,"Fujita, Maiki; Yasunaga, Kenji; Koshiba, Takeshi",Perfectly Secure Message Transmission Against Rational Timid Adversaries,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_8
2D73SMR9,2018,"Ma, Yuzhe; Jun, Kwang-Sung; Li, Lihong; Zhu, Xiaojin",Data Poisoning Attacks in Contextual Bandits,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_11
I35TTHNN,2018,"Kiumarsi, Bahare; Başar, Tamer",Distributed Aggregative Games on Graphs in Adversarial Environments,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_17
E2R7PUJY,2018,"Woods, Daniel W.; Simpson, Andrew C.",Cyber-Warranties as a Quality Signal for Information Security Products,Decision and Game Theory for Security,Maybe,Decision Theory Economics,Low,Contains a model that looks at how information can affect economic decisions relating to the purchase of cybersecurity products. Possibly good as a reference for pre-deployment analysis of AI Security solutions based on inferences of knowns.,10.1007/978-3-030-01554-1_2
DJEFDXMZ,2018,"Liu, Yongshuai; Chen, Jiyu; Chen, Hao",Less is More: Culling the Training Set to Improve Robustness of Deep Neural Networks,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_6
A4NRSXEB,2018,"Sen, Ayon; Alfeld, Scott; Zhang, Xuezhou; Vartanian, Ara; Ma, Yuzhe; Zhu, Xiaojin",Training Set Camouflage,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_4
BAGFY7AK,2018,"Demazy, Antonin; Kalloniatis, Alexander; Alpcan, Tansu",A Game-Theoretic Analysis of the Adversarial Boyd-Kuramoto Model,Decision and Game Theory for Security,Include,Org. Decision Making,High,Strategic decision-making in competitive environments in adversarial situations.,10.1007/978-3-030-01554-1_14
W27WDCJS,2018,"Chen, Jundong; Hossain, Md Shafaeat; Brust, Matthias R.; Johnson, Naomi",A Game Theoretic Analysis of the Twitter Follow-Unfollow Mechanism,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_15
G222D47L,2018,"Krawec, Walter O.; Miao, Fei",Game Theoretic Security Framework for Quantum Key Distribution,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_3
KDVAZT78,2018,"Moothedath, Shana; Sahabandu, Dinuka; Clark, Andrew; Lee, Sangho; Lee, Wenke; Poovendran, Radha",Multi-stage Dynamic Information Flow Tracking Game,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_5
V6QP6SRI,2018,"Feldman, Moran; Frim, Gonen; Gonen, Rica",Multi-sided Advertising Markets: Dynamic Mechanisms and Incremental User Compensations,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-01554-1_13
CCADE758,2013,"Blocki, Jeremiah; Christin, Nicolas; Datta, Anupam; Sinha, Arunesh",Adaptive Regret Minimization in Bounded-Memory Games,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_5
WKKEC4LD,2013,"Han, Yi; Alpcan, Tansu; Chan, Jeffrey; Leckie, Christopher",Security Games for Virtual Machine Allocation in Cloud Computing,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_7
MRG6ZFTG,2013,"Alimomeni, Mohsen; Safavi-Naini, Reihaneh; Sharifian, Setareh",A True Random Generator Using Human Gameplay,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_2
